iso_code,Country,GDP,Total_Pop,Pop_Den,health_exp,Lat_avg,Lng_avg,total_vaccinations,people_fully_vaccinated_per_hundred
ALB,Albania,15147020535.3869,2866376.0,104.61226277372299,44.65778732,41,20,400064.0,0.02
AND,Andorra,3218316013.22626,77006.0,163.842553191489,32.06521988,42.5,1.6,26414.0,6.06
ARE,United Arab Emirates,422215043584.969,9630959.0,135.609110109828,48.42153931,24,54,10336214.0,38.79
ARG,Argentina,517626700412.71796,44494502.0,16.2585100979651,38.290126799999996,-34,-64,7386650.0,1.95
AUT,Austria,455094861902.062,8840521.0,107.131858943286,26.91482925,47.3333,13.3333,2863389.0,8.73
AZE,Azerbaijan,47112941176.4706,9939771.0,120.25759188908,72.80480957,40.5,47.5,1440243.0,4.87
BEL,Belgium,543734366831.215,11427054.0,377.379590488771,24.21545982,50.8333,4,3563371.0,6.6
BGD,Bangladesh,274039092455.30603,161356039.0,1239.5793116693599,76.50183868,24,90,7954176.0,1.31
BGR,Bulgaria,66230155099.5775,7025037.0,64.7110998526161,42.363475799999996,43,25,750899.0,2.56
BHR,Bahrain,37652500000.0,1569439.0,2012.1012820512801,41.16764832,26,50.55,1206763.0,31.14
BLR,Belarus,60031262269.3365,9483499.0,46.721346930732096,29.2992897,53,28,328500.0,0.89
BOL,"Bolivia, Plurinational State of",40287647930.4761,11353142.0,10.4801458506416,26.95981026,-17,-65,688654.0,1.7
BOL,Bolivia,40287647930.4761,11353142.0,10.4801458506416,26.95981026,-17,-65,688654.0,1.7
BRA,Brazil,1885482534238.33,209469333.0,25.061716243087602,58.24096298,-10,-55,40168799.0,5.76
CAN,Canada,1716262621082.22,37065178.0,4.1341593804758,26.50819778,60,-95,12564325.0,2.77
CHE,Switzerland,705140620046.7,8514329.0,215.465192227053,68.77922821,47,8,2431709.0,9.99
CHL,Chile,298258019275.049,18729160.0,25.1894471253423,49.16165924,-30,-71,14324489.0,33.11
COL,Colombia,333568923004.469,49661056.0,44.7598521856692,28.38554382,4,-72,4535151.0,2.84
CRI,Costa Rica,60553901420.085,4999441.0,97.91306306306309,27.59983826,10,-84,818884.0,5.5
CYP,Cyprus,25309818138.8758,1189265.0,128.708333333333,56.82214355,35,33,236265.0,6.87
CZE,Czech Republic,248908731817.50198,10629928.0,137.693367875648,17.29622078,49.75,15.5,2938538.0,9.03
DEU,Germany,3963767526250.98,82905782.0,237.29401225027198,22.31568336,51,9,25892613.0,7.21
DMA,Dominica,551074074.074074,71625.0,95.5,33.29429626,15.4167,-61.3333,23055.0,6.69
